subject,group,window_size,window_dur_s,strategy,attend_side,difficulty,score,r_att,r_ign,delta_r,correct,r_att_std,r_ign_std
sub-021,NH,16,800,average,,,,0.08703688027066826,0.05408535442324005,0.03295152584742821,True,0.04326506708117511,0.031543789920746274
sub-021,NH,16,800,average,,,,0.11811255675491576,0.05652014912782377,0.06159240762709199,True,0.05679863078798737,0.04355820798368744
sub-022,NH,16,800,average,,,,0.07296825157805026,0.06461243587097418,0.00835581570707608,True,0.04203909160483033,0.03905615436640144
sub-022,NH,16,800,average,,,,0.09557029727858227,0.05693540700382639,0.038634890274755876,True,0.06444074321883415,0.0391748329347354
sub-023,NH,16,800,average,,,,0.08596070795002336,0.046825161597514875,0.03913554635250849,True,0.046700656708404766,0.041945277025736506
sub-023,NH,16,800,average,,,,0.06805576422223533,0.048261072469012345,0.019794691753222987,True,0.04047980209712667,0.03701858219649247
sub-024,NH,16,800,average,,,,0.10941144118934973,0.05983687444542921,0.049574566743920516,True,0.05711637938047858,0.03480999300625649
sub-025,NH,16,800,average,,,,0.08464690923552146,0.04738163252558737,0.037265276709934084,True,0.06307669745127895,0.04366361637300999
sub-025,NH,16,800,average,,,,0.08945149525580152,0.04936291693765026,0.04008857831815126,True,0.0720488089540883,0.03062196344462394
sub-026,NH,16,800,average,,,,0.06130140051846696,0.0655836851998277,-0.004282284681360736,False,0.04073632369175003,0.046486530690554036
sub-026,NH,16,800,average,,,,0.07187872158668573,0.0656252032183228,0.006253518368362937,True,0.08083056136638324,0.041428160902603824
sub-027,NH,16,800,average,,,,0.0718185178126553,0.03711615995144115,0.03470235786121415,True,0.049727026210166454,0.02467826254031222
sub-027,NH,16,800,average,,,,0.07226513744195787,0.06052855538916248,0.011736582052795388,True,0.038362544108327554,0.05636649467742816
sub-028,NH,16,800,average,,,,0.07670804178919485,0.0626486314403928,0.014059410348802051,True,0.05819713836672588,0.04868142164459762
sub-028,NH,16,800,average,,,,0.0691405617650771,0.05698405712602428,0.012156504639052823,True,0.05357705150481504,0.045291064329894125
sub-029,NH,16,800,average,,,,0.07161953881310237,0.05605203762084256,0.015567501192259817,True,0.04175014386034726,0.03811016903223933
sub-029,NH,16,800,average,,,,0.08920826543780419,0.05062570700997049,0.0385825584278337,True,0.0658874721066792,0.04468108361309057
sub-030,NH,16,800,average,,,,0.0647587023966814,0.05774840355027172,0.007010298846409677,True,0.05036437769799682,0.04840507691866091
sub-030,NH,16,800,average,,,,0.06164359098652052,0.048613867564449936,0.013029723422070587,True,0.04413019482201726,0.03440592724701972
sub-031,NH,16,800,average,,,,0.07411854773690463,0.09002391701873108,-0.015905369281826454,False,0.04895981474069752,0.07340131570898097
sub-031,NH,16,800,average,,,,0.07901749311327001,0.06413027560232791,0.014887217510942102,True,0.054019068525150385,0.04938901077453289
sub-032,NH,16,800,average,,,,0.0916012507545479,0.043295678560406656,0.04830557219414125,True,0.05949719084815176,0.028793619912753123
sub-032,NH,16,800,average,,,,0.08797495151016296,0.06226319467015344,0.025711756840009523,True,0.04706710073936633,0.056446376565091994
sub-033,NH,16,800,average,,,,0.06845998956342322,0.05157327322693328,0.016886716336489943,True,0.05736943043200562,0.0431979844050924
sub-033,NH,16,800,average,,,,0.07724260834711438,0.06480866567450058,0.012433942672613801,True,0.04400652171990434,0.05571118623015912
sub-034,NH,16,800,average,,,,0.07904854772698694,0.045957536486941834,0.033091011240045105,True,0.05355009060333666,0.03891367266124663
sub-034,NH,16,800,average,,,,0.122078474133491,0.04036135221234288,0.08171712192114812,True,0.05990615204113105,0.033258876867313755
sub-035,NH,16,800,average,,,,0.06421852994811751,0.05803564506499387,0.006182884883123643,True,0.04252751595176161,0.03867978396330184
sub-035,NH,16,800,average,,,,0.06846799252986502,0.06266697422770413,0.005801018302160885,True,0.050817344533142676,0.047852313072455445
sub-036,NH,16,800,average,,,,0.0445142009739889,0.04750072443877611,-0.0029865234647872066,False,0.02990538957088816,0.03588734266151369
sub-036,NH,16,800,average,,,,0.07466756898144888,0.05114647303296753,0.023521095948481355,True,0.05168061398430149,0.04113816551558213
sub-037,NH,16,800,average,,,,0.10163517868943718,0.06907397762808372,0.03256120106135346,True,0.06068662574225819,0.05444155851768454
sub-037,NH,16,800,average,,,,0.10594141672567034,0.06289778522596044,0.0430436314997099,True,0.06573827356346934,0.05932543663518227
sub-038,NH,16,800,average,,,,0.09994368420475977,0.050402556980553556,0.04954112722420621,True,0.05176560136089139,0.03323536257048344
sub-038,NH,16,800,average,,,,0.06443700237276398,0.04997546927553487,0.014461533097229112,True,0.052356983501555,0.037571104512592594
sub-039,NH,16,800,average,,,,0.04317308322230733,0.06950725764761248,-0.026334174425305147,False,0.03154061760139972,0.03699877977071982
sub-039,NH,16,800,average,,,,0.05313980673475521,0.04750999498288686,0.005629811751868351,True,0.04273474116203421,0.031943088560583324
sub-040,NH,16,800,average,,,,0.15338188891295404,0.06975863939026036,0.08362324952269368,True,0.06530227436521413,0.03652194353167602
sub-040,NH,16,800,average,,,,0.136067638563462,0.04940651394839797,0.08666112461506402,True,0.04397496835454258,0.03671456029813505
sub-043,NH,16,800,average,,,,0.12125988706511565,0.06282036182208219,0.05843952524303346,True,0.08301383411547882,0.0448757938939066
sub-043,NH,16,800,average,,,,0.12464473280572264,0.06129581351864401,0.06334891928707863,True,0.06636549838466912,0.04362095147138383
sub-044,NH,16,800,average,,,,0.06098580941465398,0.06956947230948804,-0.00858366289483406,False,0.04997769011174063,0.05001697041650648
sub-044,NH,16,800,average,,,,0.0512689866877251,0.0637524174491165,-0.012483430761391398,False,0.04075659123588369,0.04889927636416111
